date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,aged_65_older,median_age,cardiovasc_death_rate,male_smokers,population
2020-11-11,483.6074233115872,2.579641486097583,2.68085376590725,7.000000000000038,1.4953050196920634e-17,3.925651640161322e-17,579.7298415315161,8.390000000000043,0.7026045642002452,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-12,486.1511395586749,2.543716247087735,2.6479184433703247,7.000000000000038,1.1214787647690476e-17,2.9442387301209917e-17,582.7791752662849,8.390000000000043,0.7055644444817945,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-13,488.6603165306746,2.509176971999709,2.614039349657676,7.000000000000038,8.411090735767856e-18,2.2081790475907437e-17,585.78713694422,8.390000000000043,0.7082825770588259,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-14,491.13849854862076,2.4781820179461325,2.58037889815147,7.000000000000038,6.308318051825892e-18,1.6561342856930578e-17,588.7579677695751,8.390000000000043,0.7107865934276045,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-15,493.5916567168962,2.453158168275375,2.5480375672787643,7.000000000000038,4.731238538869419e-18,1.2421007142697934e-17,591.698815193698,8.390000000000043,0.7130841273590043,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-16,496.0296507471105,2.4379940302142917,2.518035124392496,7.000000000000038,3.548428904152064e-18,9.315755357023451e-18,594.6214869608852,8.390000000000043,0.715208376708653,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-17,498.45386378754756,2.4242130404370634,2.490914675550355,7.000000000000038,2.661321678114048e-18,6.986816517767587e-18,597.527637521893,8.390000000000043,0.7171776141410576,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-18,500.86468678700913,2.410822999461608,2.4669704281236613,7.000000000000038,1.995991258585536e-18,5.2401123883256906e-18,600.4177320198951,8.390000000000043,0.7190362487441265,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-19,503.26208975089105,2.3974029638819236,2.446242042165794,7.000000000000038,1.496993443939152e-18,3.930084291244268e-18,603.2917314648251,8.390000000000043,0.7208109616065768,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-20,505.6460501832401,2.3839604323490673,2.428510393938505,7.000000000000038,1.122745082954364e-18,2.947563218433201e-18,606.1496066141335,8.390000000000043,0.7225618411144359,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
