date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,extreme_poverty,male_smokers,population,excess_mortality_cumulative,excess_mortality
2021-06-26,278595.6501616509,80.72505923905831,111.01796073572717,4362.82653585317,3.0243803135497123,3.607939956929518,98900.73224360863,0.010000000000000054,0.49118273157482756,35.514006717572045,9598.577088306145,10620.961910062813,0.007613242710611957,151.30877777224535,44.22996083949807,17925.098009938825,18412.51660374842,0.16638962562868426,38.02187502255158,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.220887465867463,28.502178955558428
2021-06-27,278668.5208791571,72.87071750621688,101.03821489568688,4365.649992387621,2.8234565344512337,3.4197049676971423,98926.60105035367,0.010000000000000054,0.4994187228892662,33.95261880676343,9369.665961026001,10253.591358209695,0.006932621108589227,160.25913504217718,44.363234527490455,17654.23149064742,18240.54213930132,0.156807894722483,37.661602614683616,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.23700690515369,28.450063111303635
2021-06-28,278735.58627992414,67.06540076702537,91.7837119151395,4368.305690800094,2.6556984124738516,3.2306568770333643,98950.40900625278,0.010000000000000054,0.5110153996330138,32.535278584710625,9166.989758423035,9934.408305341189,0.006223059884447744,169.3017737121438,44.49167185554033,17328.881471896384,18044.79018560077,0.14856196499790636,37.24148929132951,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.25141387311222,28.129118438842987
2021-06-29,278797.17939966556,61.593119741397075,83.2686031024827,4370.789917744551,2.4842269444555853,3.0406691283632616,98972.27434292503,0.010000000000000054,0.5262306835321302,31.24082545437011,8995.566236076498,9660.688468824908,0.005503752573322884,178.19775562347468,44.61647060141614,16961.570121375444,17817.85298179918,0.14161297342522372,36.766805882524324,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.2639756324637,27.568068374796695
2021-06-30,278853.655299588,56.4758999224021,75.53868697456733,4373.098029775775,2.3081120312246908,2.8510422470481442,98992.32310884225,0.010000000000000054,0.5452523597725633,30.038246757228816,8853.309761090999,9426.16607689342,0.004803638605816342,186.63487780357917,44.73890983535434,16571.785897431088,17553.63357927119,0.13588458462612546,36.24691081137616,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.27461412346129,26.80669275307096
2021-07-01,278905.4542413365,51.798941748524314,68.6407324254957,4375.228725951747,2.1306961759718495,2.6638933530301316,99010.7115961761,0.010000000000000054,0.5682165807537931,28.890595216596502,8734.391160507983,9224.582589344285,0.00415573477207396,194.35843534040282,44.86014456138977,16172.819723655108,17250.2569233028,0.131310982102432,35.69535747828007,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.28335612773312,25.89596655898554
2021-07-02,278953.14906820375,47.69482686730795,62.5994711032201,4377.187252285406,1.9585263336595613,2.4816982953155877,99027.64316093312,0.010000000000000054,0.5951755254166708,27.769190756338816,8635.309967019653,9050.608128175001,0.0035928838198440952,201.1454409202992,44.98110082569656,15751.023616270762,16909.26601180485,0.1278419954649948,35.12088785660926,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.290356346884913,24.896116252695645
2021-07-03,278997.4807410368,44.331672833092526,57.400341691991734,4378.987805083485,1.8005527980791913,2.306948252837695,99043.38083805615,0.010000000000000054,0.6261394010114376,26.643893713666557,8552.637339518145,8901.166745775736,0.003144565903021406,206.75745981110384,45.10225483711346,15285.976972060882,16532.243674981648,0.12536776033501001,34.52864439924432,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.295900167172665,23.873114269584555
2021-07-04,279039.38499016716,41.90424913031395,52.97654812419747,4380.655333450629,1.667528367143752,2.1418921851033867,99058.2568027504,0.010000000000000054,0.6610198707327228,25.482936445560227,8480.125338187425,8774.067205421019,0.00283450716805468,210.9777053948505,45.223967469140916,14766.027961754147,16119.63996373464,0.12377582025125768,33.929186111327276,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.30039118872794,22.894002153384303
2021-07-05,279079.57743040856,40.19244024140067,49.137588533355,4382.22941217589,1.574078725260854,1.987436107153334,99072.52509252835,0.010000000000000054,0.699611056895697,24.27207628375003,8416.148496206837,8666.780543044444,0.0026788861937527128,213.61596327367533,45.34655220172647,14197.80831779268,15672.343256576049,0.12294886583485584,33.33586340379285,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.304327328197562,22.021335163842387
2021-07-06,279118.41877093224,38.84134052364912,45.88741570512296,4383.715498045951,1.4860858700607036,1.844888974353367,99086.31375588638,0.010000000000000054,0.7415992105773977,23.007434717660644,8361.197603570783,8576.132853954321,0.0026849888211387136,214.54288066469442,45.47022523726777,13608.474774220414,15193.331763699025,0.12274154595015627,32.76278927876582,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.308379996102026,21.32545598549609
2021-07-07,279156.4857006947,38.06692976248479,43.25768928369036,4385.117602849272,1.4021048033212242,1.7154918762078195,99099.82751051543,0.010000000000000054,0.7865702870539287,21.69655858511041,8311.731040428584,8498.74191583744,0.0028501992758411115,213.7383094965819,45.594823582120256,13015.237819514714,14685.25882600635,0.12296307607541633,32.22342809352819,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.313269575523307,20.876029587238264
2021-07-08,279194.46081721503,37.975116520312255,41.28302585093847,4386.440109053573,1.3225062043008744,1.6000649317195381,99113.30866973221,0.010000000000000054,0.8340285556265823,20.354109307287906,8262.997650069348,8431.380079412027,0.00314863846786985,211.24616263310253,45.720027512058905,12420.547708527452,14149.228104637294,0.12341041306819783,31.72961421817463,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.319656101672052,20.72789600149161
2021-07-09,279233.0500731573,38.58925594227044,39.98243648581217,4387.689131563942,1.2490225103685142,1.4987424609098878,99127.00783730255,0.010000000000000054,0.8834734205984127,19.0041081601686,8212.666482542325,8370.98787145302,0.0035568570021628984,207.14960419848586,45.84555683313927,11829.525632720748,13589.025732647347,0.12391462945208584,31.29081166557025,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.328059349317137,20.91197666913979
2021-07-10,279272.92086126783,39.87078811054904,39.34540493384851,4388.873539041418,1.1844074774758053,1.4107743634587586,99141.16192855882,0.010000000000000054,0.9344011223331032,17.67245733214974,8171.232004763897,8316.492745865147,0.004060984703787664,201.5476701818317,45.97154933138329,11286.203193512778,13017.644703493283,0.12442304384084218,30.91328328052873,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.338800976111987,21.429970958776103
2021-07-11,279314.65557807795,41.73471681012581,39.32144623432309,4390.0057198919285,1.1321808505115094,1.3343771526845682,99155.97768623826,0.010000000000000054,0.9863380104634684,16.388101887282975,8141.200247916825,8268.070189650973,0.004651103750853039,194.57109361892088,46.09873407352136,10795.416729329814,12450.431216695608,0.1249882589633726,30.59993062458534,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.35196320784355,22.251895316690387
2021-07-12,279357.57225886587,42.916680787943484,39.710905942710696,4391.108459279005,1.102739387075618,1.2671642478359875,99171.21300643707,0.010000000000000054,1.0387887373240088,15.18100854215908,8126.840263507119,8226.739326142571,0.005306039513204431,186.4618108412109,46.22824124680237,10376.211593539067,11904.50474736335,0.12573618452634344,30.34983823993226,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.36735993012315,23.31575438990955
