date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,gdp_per_capita,diabetes_prevalence,population
2022-04-24,12972.74109311301,36.948293245913646,32.048151108118994,130.52414817312248,0.1260380901057251,0.16616544272770667,200283.15815713472,37.66576393101534,0.010163496011686552,16.11950472262598,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-25,13011.201650474723,38.460557361713896,33.58577299495485,130.63005359913745,0.10590542601497584,0.1540922462345326,200876.94252153588,30.912412799586665,0.010122622008764928,16.106665710683146,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-26,13051.192398166339,39.990747691615155,35.17777092268678,130.71499333445348,0.08493973531601536,0.13954413619496875,201494.35117460403,25.78917385308368,0.01009196650657371,16.096519160194024,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-27,13092.622304442484,41.429906276145175,36.77842644670163,130.78149386961857,0.06650053516509814,0.12327219393678904,202133.97867539414,21.923102109269784,0.010068974879930297,16.088451102530804,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-28,13135.307791680298,42.68548723781353,38.33206741097974,130.83443972994522,0.05294586032663551,0.10642392567237208,202792.9907832104,18.958971701538648,0.010051731159947737,16.08201318145533,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-29,13178.985045440913,43.677253760616196,39.78141933651541,130.88032236371637,0.04588263377115635,0.0903520425089656,203467.3144985264,16.597961807828206,0.010038798369960817,16.076876401928622,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-30,13223.319246265577,44.334200824663895,41.07386896263226,130.92667680834015,0.04635444462377779,0.07647104545638486,204151.7805936753,14.63056573208319,0.010029098777470626,16.072821651802016,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-01,13267.91149352273,44.592247257153446,42.16616190296973,130.98165918996568,0.054982381625558074,0.06614966418278642,204840.2305108676,12.977352224078563,0.010021824083102983,16.069661164514105,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-02,13312.309040310134,44.39754678740296,43.01460235806124,131.05246934399352,0.07081015402783064,0.0609957322999858,205525.67435923373,11.583919145434498,0.010016368062327252,16.06722906666291,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-03,13356.357200400686,44.04816009055227,43.59452432833914,131.14279415408453,0.09032481009100893,0.06166325042085239,206205.7239620565,10.412696954421714,0.010012276046745454,16.06537428868499,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-04,13399.955311418827,43.59811101814051,43.904546122789654,131.25556038608715,0.1127662320026461,0.06821043070510288,206878.82522461313,9.436801319565486,0.010009207035059104,16.063955247864765,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-05,13443.056480332078,43.10116891324991,43.964189811872515,131.39247830507946,0.13691791899228867,0.08017915463839423,207544.25419997275,8.635422579848655,0.010006905276294342,16.062835860591548,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-06,13485.6673925697,42.6109122376201,43.812095817210846,131.55369938815045,0.16122108307097832,0.09665456636664332,208202.11413834442,7.990367839863874,0.01000517895722077,16.06188255155228,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-07,13527.848168861685,42.18077629198372,43.504683853858424,131.73755960898632,0.18386022083587794,0.11630976769676685,208853.33327408828,7.48346754117781,0.010003884217915591,16.060962010626092,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-08,13569.712257868001,41.86408900631817,43.11514863700022,131.94038690131006,0.2028272923237414,0.13743933934723607,209499.66316597373,7.094630390854277,0.010002913163436707,16.060013686379417,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-09,13611.38349850768,41.67124063967728,42.72586212416263,132.15761726066276,0.2172303593526965,0.15833742306246357,210143.01578850774,6.802857085319126,0.010002184872577544,16.058997013330156,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-05-10,13652.892488134172,41.50898962649364,42.36329332873935,132.38847797458584,0.2308607139230554,0.17836150297881312,210783.86354823306,6.587113725430853,0.01001424369644998,16.05788964752188,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
