date,total_cases,new_cases,total_deaths,new_deaths,new_tests_smoothed,total_boosters_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,diabetes_prevalence,life_expectancy,population
2020-05-09,0.0,0.0,0.0,0.0,2348.199820378993,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.61877846843134,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-10,0.0,0.0,0.0,0.0,2361.0549719422957,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.4272057000631,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-11,0.0,0.0,0.0,0.0,2372.841002712381,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.231681909178,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-12,0.0,0.0,0.0,0.0,2383.3215729780513,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.03710338404906,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-13,0.0,0.0,0.0,0.0,2392.3365578848025,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.84871473907114,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-14,0.0,0.0,0.0,0.0,2399.8172535784406,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.6762364421509,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-15,0.0,0.0,0.0,0.0,2405.797781812793,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.52374617453505,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-16,0.0,0.0,0.0,0.0,2410.4236434054933,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.4005785384644,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-17,0.0,0.0,0.0,0.0,2413.8839575056427,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.30303555220004,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-18,0.0,0.0,0.0,0.0,2416.39113555005,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.2189909498644,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
