date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-05-26,12261347.296558032,7526.716467519958,8211.550278599298,254594.61798060706,37.709261797685585,39.82548566207393,21.504417992884207,1.6525177423877593,1141058.494772661,1147209.7323463368,0.02490311181538632,1426736614.0000074
2022-05-27,12268596.564322226,7249.26776434392,7989.6245286004205,254631.684493859,37.06651325194879,39.16347769193365,21.529387993693565,1.6565693022659347,1120291.8416192518,1147636.9293825724,0.02573858143749324,1426736614.0000074
2022-05-28,12275572.068635998,6975.504313884969,7752.215448324921,254668.23942081476,36.554926955768366,38.50005154626121,21.55517318660828,1.6605549663568548,1095295.978240943,1141468.686888256,0.026601285787234384,1426736614.0000074
2022-05-29,12282297.237223621,6725.168587708498,7507.236244614742,254704.46338914084,36.22396832607002,37.87542101263713,21.58160371025359,1.6644954102880054,1068422.563124794,1129319.327625793,0.02745484281489254,1426736614.0000074
2022-05-30,12288823.362387674,6526.125164116871,7261.2119769323,254740.62548303246,36.16083338740971,37.337370381326636,21.60846280208259,1.6684017774962263,1041959.8846577533,1112190.1614756486,0.028277622091777074,1426736614.0000074
2022-05-31,12295150.073358323,6326.710970695935,7017.339867476221,254776.7817173167,36.15381831786826,36.90366223977654,21.635541186888414,1.6722707901357465,1018360.4503873046,1091574.1106186965,0.029070045915956313,1426736614.0000074
2022-06-01,12301278.083412424,6128.010054137021,6779.644547504395,254812.94339852442,36.15907737770312,36.57863178002637,21.6626943517048,1.6759435580187483,998502.840149885,1069127.4546673205,0.029849076130567795,1426736614.0000074
2022-06-02,12307212.746431345,5934.663018947958,6552.208735773747,254849.09121081998,36.14647351485464,36.35518294943482,21.689694810320326,1.6793925424636433,983062.6071647746,1046556.6718666843,0.030633090226561962,1426736614.0000074
2022-06-03,12312966.724319324,5753.977887998953,6338.596247370073,254885.1857804489,36.09615119302532,36.21628556372451,21.7162494529245,1.6826757901702944,972403.6340904536,1025429.840066789,0.031430538419759915,1426736614.0000074
2022-06-04,12318561.987567242,5595.263247931995,6141.4192503304075,254921.1755990733,35.9959660127393,36.136098141765636,21.74207348271215,1.6859135976374193,966580.5920351978,1007041.9789835126,0.03224242546963576,1426736614.0000074
2022-06-05,12324031.315675449,5469.328108217911,5962.013708109804,254957.00296627363,35.83955692713694,36.080810031663646,21.766922274283658,1.6892710094756427,964996.5962565225,992266.886645522,0.03307516105439235,1426736614.0000074
2022-06-06,12329402.91994988,5371.604274440751,5797.082339582683,254992.60592541663,35.6223793954174,36.00349989608133,21.79004965658543,1.692858072879197,966255.8408575515,981452.0613965539,0.03393759251025133,1426736614.0000074
